Month,Avg.Players,Gain,% Gain,Peak Players
Last 30 Days,8675.21,-789.4,-8.34%,17070
January 2022,9464.63,695.86,+7.94%,19495
December 2021,8768.77,-729.54,-7.68%,18875
November 2021,9498.31,3136.26,+49.30%,25917
October 2021,6362.05,-565.79,-8.17%,14264
September 2021,6927.84,-1689.02,-19.60%,16851
August 2021,8616.86,58.13,+0.68%,17436
July 2021,8558.73,-1049.37,-10.92%,19576
June 2021,9608.10,-1735.45,-15.30%,21992
May 2021,11343.55,-8405.71,-42.56%,28242
April 2021,19749.26,3258.72,+19.76%,97580
March 2021,16490.54,-7994.97,-32.65%,130138
February 2021,24485.51,-17521.71,-41.71%,75133
January 2021,42007.22,-24531.31,-36.87%,118868
December 2020,66538.53,-47805.85,-41.81%,181843
November 2020,114344.38,-62109.53,-35.20%,336108
October 2020,176453.91,25073.63,+16.56%,372646
September 2020,151380.28,132660.51,+708.66%,438524
August 2020,18719.78,16613.75,+788.86%,73159
July 2020,2106.03,1489.63,+241.67%,6771
June 2020,616.40,127.52,+26.08%,2848
May 2020,488.88,167.73,+52.23%,1234
April 2020,321.15,87.73,+37.58%,850
March 2020,233.43,13.30,+6.04%,711
February 2020,220.13,102.49,+87.12%,859
January 2020,117.64,37.02,+45.92%,271
December 2019,80.62,-10.66,-11.68%,192
November 2019,91.28,-10.18,-10.03%,262
October 2019,101.46,-64.83,-38.99%,277
September 2019,166.29,-59.61,-26.39%,431
August 2019,225.90,39.72,+21.33%,676
July 2019,186.18,111.33,+148.74%,556
June 2019,74.85,66.67,+814.68%,209
May 2019,8.18,1.00,+13.89%,29
April 2019,7.19,2.69,+59.84%,26
March 2019,4.50,-0.87,-16.23%,25
February 2019,5.37,0.72,+15.46%,26
January 2019,4.65,2.08,+81.12%,37
December 2018,2.57,0.31,+13.81%,17
November 2018,2.25,-,-,19
