Month,Avg.Players,Gain,% Gain,Peak Players
Last 30 Days,3162.29,-95.1,-2.92%,5075
January 2022,3257.38,-73.39,-2.20%,5266
December 2021,3330.77,-0.05,-0.00%,4952
November 2021,3330.82,-298.80,-8.23%,5305
October 2021,3629.62,589.11,+19.38%,5776
September 2021,3040.51,-432.93,-12.46%,5515
August 2021,3473.43,491.64,+16.49%,5066
July 2021,2981.80,-590.88,-16.54%,4923
June 2021,3572.67,781.09,+27.98%,5663
May 2021,2791.59,-348.43,-11.10%,4896
April 2021,3140.02,-301.08,-8.75%,5711
March 2021,3441.10,-924.19,-21.17%,6516
February 2021,4365.29,795.11,+22.27%,7971
January 2021,3570.17,4.30,+0.12%,6809
December 2020,3565.87,816.36,+29.69%,6227
November 2020,2749.52,284.99,+11.56%,5798
October 2020,2464.53,-632.20,-20.41%,4172
September 2020,3096.73,-449.63,-12.68%,5081
August 2020,3546.35,10.12,+0.29%,5513
July 2020,3536.23,-1013.60,-22.28%,5711
June 2020,4549.83,-1073.13,-19.08%,8398
May 2020,5622.96,17.45,+0.31%,10516
April 2020,5605.51,87.07,+1.58%,9866
March 2020,5518.44,1374.23,+33.16%,9735
February 2020,4144.21,-277.11,-6.27%,6709
January 2020,4421.33,229.21,+5.47%,7021
December 2019,4192.12,-83.32,-1.95%,7177
November 2019,4275.44,-2898.70,-40.40%,7649
October 2019,7174.14,-3682.95,-33.92%,19282
September 2019,10857.09,-1354.88,-11.09%,19528
August 2019,12211.98,-7487.20,-38.01%,20265
July 2019,19699.18,-15133.03,-43.45%,42052
June 2019,34832.21,21384.23,+159.01%,80287
May 2019,13447.98,-11069.63,-45.15%,28233
April 2019,24517.61,14667.58,+148.91%,59333
March 2019,9850.03,1136.26,+13.04%,44256
February 2019,8713.76,328.13,+3.91%,16798
January 2019,8385.63,766.61,+10.06%,16585
December 2018,7619.02,1058.78,+16.14%,16548
November 2018,6560.25,961.24,+17.17%,12946
October 2018,5599.01,-1679.95,-23.08%,9892
September 2018,7278.96,1698.91,+30.45%,13833
August 2018,5580.05,-3270.52,-36.95%,9224
July 2018,8850.57,-580.21,-6.15%,14474
June 2018,9430.78,1374.89,+17.07%,17063
May 2018,8055.89,1332.25,+19.81%,26724
April 2018,6723.64,-1153.43,-14.64%,11831
March 2018,7877.07,925.54,+13.31%,15599
February 2018,6951.53,-1007.22,-12.66%,12875
January 2018,7958.75,92.93,+1.18%,14723
December 2017,7865.81,-601.76,-7.11%,13769
November 2017,8467.58,2350.41,+38.42%,18854
October 2017,6117.17,333.61,+5.77%,11901
September 2017,5783.57,-571.73,-9.00%,10113
August 2017,6355.30,-3386.25,-34.76%,10483
July 2017,9741.55,2485.02,+34.25%,17654
June 2017,7256.53,1424.87,+24.43%,15238
May 2017,5831.66,-1016.05,-14.84%,10136
April 2017,6847.71,-1192.13,-14.83%,12665
March 2017,8039.84,1425.13,+21.54%,19286
February 2017,6614.71,-2499.96,-27.43%,11971
January 2017,9114.67,1804.77,+24.69%,18099
December 2016,7309.89,1738.43,+31.20%,16062
November 2016,5571.46,-661.67,-10.62%,12446
October 2016,6233.13,-2419.79,-27.97%,12956
September 2016,8652.93,3128.73,+56.64%,18784
August 2016,5524.20,-1881.65,-25.41%,9480
July 2016,7405.84,1353.32,+22.36%,15058
June 2016,6052.53,494.28,+8.89%,12360
May 2016,5558.24,-897.33,-13.90%,10762
April 2016,6455.57,-1574.76,-19.61%,12387
March 2016,8030.34,-718.93,-8.22%,19014
February 2016,8749.26,-95.87,-1.08%,16127
January 2016,8845.13,399.86,+4.73%,17772
December 2015,8445.27,260.15,+3.18%,15408
November 2015,8185.12,1117.25,+15.81%,16804
October 2015,7067.86,925.08,+15.06%,14744
September 2015,6142.78,-1496.49,-19.59%,15346
August 2015,7639.27,-464.79,-5.74%,15419
July 2015,8104.06,-186.28,-2.25%,15088
June 2015,8290.33,2629.26,+46.44%,17472
May 2015,5661.07,-1841.35,-24.54%,10242
April 2015,7502.42,-1570.63,-17.31%,15930
March 2015,9073.05,2288.76,+33.74%,21917
February 2015,6784.29,-863.54,-11.29%,14115
January 2015,7647.83,-234.76,-2.98%,16789
December 2014,7882.59,865.99,+12.34%,15743
November 2014,7016.60,-4106.75,-36.92%,15119
October 2014,11123.35,-2555.06,-18.68%,25558
September 2014,13678.40,-3586.02,-20.77%,32832
August 2014,17264.42,2856.46,+19.83%,67322
July 2014,14407.96,2711.82,+23.19%,30875
June 2014,11696.14,5107.61,+77.52%,37558
May 2014,6588.54,-280.89,-4.09%,12169
April 2014,6869.43,-1065.65,-13.43%,13248
March 2014,7935.08,-6403.53,-44.66%,18448
February 2014,14338.60,2355.12,+19.65%,47105
January 2014,11983.48,25.60,+0.21%,28057
December 2013,11957.88,4062.81,+51.46%,25836
November 2013,7895.07,-3209.46,-28.90%,17302
October 2013,11104.53,703.31,+6.76%,23777
September 2013,10401.23,-3382.93,-24.54%,20874
August 2013,13784.16,-6934.23,-33.47%,28306
July 2013,20718.38,7752.60,+59.79%,49680
June 2013,12965.78,-115.98,-0.89%,27818
May 2013,13081.76,4600.45,+54.24%,40649
April 2013,8481.32,1359.29,+19.09%,17604
March 2013,7122.03,-3825.61,-34.94%,16153
February 2013,10947.64,-3712.09,-25.32%,25383
January 2013,14659.73,-112.94,-0.76%,28507
December 2012,14772.67,-997.47,-6.33%,28993
November 2012,15770.14,-16196.00,-50.67%,31391
October 2012,31966.15,-29276.63,-47.80%,68559
September 2012,61242.78,-,-,123596
