Month,Avg.Players,Gain,% Gain,Peak Players
Last 30 Days,12887.11,-1632.6,-11.24%,25121
January 2022,14519.69,-2253.98,-13.44%,27587
December 2021,16773.66,6331.45,+60.63%,30227
November 2021,10442.22,2438.63,+30.47%,28779
October 2021,8003.59,-2229.10,-21.78%,16250
September 2021,10232.70,-199.64,-1.91%,19706
August 2021,10432.34,798.38,+8.29%,21483
July 2021,9633.97,769.52,+8.68%,17110
June 2021,8864.45,-1523.92,-14.67%,15703
May 2021,10388.37,-2606.15,-20.06%,17885
April 2021,12994.52,-151.32,-1.15%,25322
March 2021,13145.84,-11559.00,-46.79%,22890
February 2021,24704.84,-57441.83,-69.93%,47115
January 2021,82146.66,-250248.99,-75.29%,225670
December 2020,332395.65,-,-,830387
