Month,Avg.Players,Gain,% Gain,Peak Players
Last 30 Days,263302.95,+20980.6,+8.66%,696704
January 2022,242322.35,88651.54,+57.69%,696704
December 2021,153670.81,12409.62,+8.78%,363839
November 2021,141261.19,-17176.69,-10.84%,341570
October 2021,158437.88,-8664.24,-5.18%,393496
September 2021,167102.12,-17726.28,-9.59%,400709
August 2021,184828.40,-1421.57,-0.76%,444355
July 2021,186249.97,6911.70,+3.85%,413274
June 2021,179338.27,-5362.95,-2.90%,427913
May 2021,184701.21,-1409.44,-0.76%,419509
April 2021,186110.65,-7003.53,-3.63%,453579
March 2021,193114.18,-5843.34,-2.94%,464480
February 2021,198957.52,-2289.67,-1.14%,447390
January 2021,201247.19,12013.61,+6.35%,451998
December 2020,189233.58,9713.32,+5.41%,444680
November 2020,179520.26,16934.62,+10.42%,438919
October 2020,162585.64,-6508.07,-3.85%,381079
September 2020,169093.71,-23398.90,-12.16%,403693
August 2020,192492.61,-19207.70,-9.07%,443390
July 2020,211700.30,-18629.44,-8.09%,469568
June 2020,230329.74,-12929.04,-5.31%,546359
May 2020,243258.78,411.51,+0.17%,553121
April 2020,242847.28,14380.11,+6.29%,913075
March 2020,228467.17,-29117.16,-11.30%,562028
February 2020,257584.32,-17778.72,-6.46%,606689
January 2020,275363.04,-33082.41,-10.73%,645414
December 2019,308445.45,2786.06,+0.91%,686239
November 2019,305659.39,18525.98,+6.45%,695920
October 2019,287133.41,-24310.90,-7.81%,637870
September 2019,311444.31,-47086.65,-13.13%,660864
August 2019,358530.96,5642.08,+1.60%,750941
July 2019,352888.88,-10194.48,-2.81%,745224
June 2019,363083.37,-22757.23,-5.90%,745960
May 2019,385840.59,-4260.30,-1.09%,817595
April 2019,390100.90,-27711.61,-6.63%,886255
March 2019,417812.51,-20146.59,-4.60%,931407
February 2019,437959.10,-59844.15,-12.02%,931754
January 2019,497803.25,24261.99,+5.12%,1084606
December 2018,473541.26,55381.78,+13.24%,1109766
November 2018,418159.48,-50982.25,-10.87%,895650
October 2018,469141.74,-73465.31,-13.54%,1048662
September 2018,542607.05,-76713.44,-12.39%,1125229
August 2018,619320.48,-69299.93,-10.06%,1260894
July 2018,688620.42,-112047.81,-13.99%,1350463
June 2018,800668.23,-75512.41,-8.62%,1750216
May 2018,876180.64,-231001.16,-20.86%,2175704
April 2018,1107181.80,-188226.79,-14.53%,2456361
March 2018,1295408.59,-95606.71,-6.87%,2799269
February 2018,1391015.30,-193871.48,-12.23%,2934761
January 2018,1584886.77,148728.26,+10.36%,3236027
December 2017,1436158.51,101988.42,+7.64%,3080769
November 2017,1334170.09,247531.23,+22.78%,2915723
October 2017,1086638.87,426446.12,+64.59%,2390946
September 2017,660192.74,270665.33,+69.49%,1550463
August 2017,389527.42,159825.72,+69.58%,874171
July 2017,229701.70,89799.46,+64.19%,481291
June 2017,139902.24,32460.64,+30.21%,267194
May 2017,107441.60,37646.63,+53.94%,189456
April 2017,69794.98,52243.84,+297.67%,140104
March 2017,17551.14,-,-,67846
