viewers_Month,viewers_Average,viewers_Gain,viewers_% Gain,viewers_Peak,streams_Month,streams_Average,streams_Gain,streams_% Gain,streams_Peak,watched_Month,watched_Value,watched_Gain,watched_% Gain
02/2022,179,-33,-15.6%,1.3K,02/2022,31,+2,+6.9%,59,02/2022,29.9K,-127K,-80.9%
01/2022,212,+44,+26.2%,1.0K,01/2022,29,+4,+16%,73,01/2022,157K,+32.5K,+26.2%
12/2021,168,-95,-36.1%,704,12/2021,25,-6,-19.4%,64,12/2021,124K,-64.0K,-34%
11/2021,263,+84,+46.9%,3.6K,11/2021,31,-1,-3.1%,73,11/2021,188K,+56.5K,+42.9%
10/2021,179,-66,-26.9%,683,10/2021,32,-,-,72,10/2021,132K,-43.5K,-24.8%
09/2021,245,-89,-26.6%,4.1K,09/2021,32,+1,+3.2%,73,09/2021,175K,-71.2K,-28.9%
08/2021,334,+70,+26.5%,8.4K,08/2021,31,+2,+6.9%,76,08/2021,246K,+52.2K,+26.9%
07/2021,264,-121,-31.4%,2.1K,07/2021,29,-4,-12.1%,63,07/2021,194K,-80.9K,-29.4%
06/2021,385,-22,-5.4%,2.8K,06/2021,33,+1,+3.1%,73,06/2021,275K,-26.0K,-8.6%
05/2021,407,+60,+17.3%,3.0K,05/2021,32,-2,-5.9%,70,05/2021,301K,+53.8K,+21.8%
04/2021,347,-117,-25.2%,2.6K,04/2021,34,-6,-15%,81,04/2021,247K,-94.4K,-27.6%
03/2021,464,-12,-2.5%,2.9K,03/2021,40,-4,-9.1%,82,03/2021,342K,+24.1K,+7.6%
02/2021,476,+109,+29.7%,3.3K,02/2021,44,+6,+15.8%,104,02/2021,318K,+45.9K,+16.9%
01/2021,367,+43,+13.3%,4.1K,01/2021,38,+4,+11.8%,86,01/2021,272K,+33.0K,+13.8%
12/2020,324,+110,+51.4%,2.2K,12/2020,34,+5,+17.2%,74,12/2020,239K,+86.2K,+56.6%
11/2020,214,+96,+81.4%,2.0K,11/2020,29,+4,+16%,71,11/2020,152K,+66.1K,+76.6%
10/2020,118,-26,-18.1%,2.1K,10/2020,25,-6,-19.4%,58,10/2020,86.3K,-16.8K,-16.3%
09/2020,144,-43,-23%,865,09/2020,31,-1,-3.1%,66,09/2020,103K,-35.5K,-25.6%
08/2020,187,-90,-32.5%,2.0K,08/2020,32,-4,-11.1%,75,08/2020,139K,-63.0K,-31.3%
07/2020,277,-71,-20.4%,3.2K,07/2020,36,-40,-52.6%,76,07/2020,202K,-46.3K,-18.7%
06/2020,348,+3,+0.9%,6.2K,06/2020,76,+33,+76.7%,281,06/2020,248K,-3.9K,-1.5%
05/2020,345,+228,+195%,19.8K,05/2020,43,+18,+72%,322,05/2020,252K,+171K,+211%
04/2020,117,+24,+25.8%,485,04/2020,25,+6,+31.6%,60,04/2020,80.9K,+13.3K,+19.6%
03/2020,93,+17,+22.4%,1.7K,03/2020,19,+3,+18.8%,52,03/2020,67.7K,+15.3K,+29.1%
02/2020,76,-144,-65.5%,2.3K,02/2020,16,-1,-5.9%,42,02/2020,52.4K,-109K,-67.6%
01/2020,220,+134,+156%,1.8K,01/2020,17,+5,+41.7%,40,01/2020,162K,+99.4K,+160%
12/2019,86,+39,+83%,1.8K,12/2019,12,-2,-14.3%,34,12/2019,62.3K,+30.2K,+94.1%
11/2019,47,-70,-59.8%,1.6K,11/2019,14,-7,-33.3%,39,11/2019,32.1K,-50.2K,-61%
10/2019,117,-641,-84.6%,11.2K,10/2019,21,-47,-69.1%,50,10/2019,82.3K,-463K,-84.9%
09/2019,758,-151,-16.6%,14.4K,09/2019,68,-14,-17.1%,235,09/2019,545K,-128K,-19%
08/2019,909,-1,040,-53.4%,7.3K,08/2019,82,-24,-22.6%,179,08/2019,674K,-773K,-53.4%
07/2019,1.9K,-1,244,-39%,22.2K,07/2019,106,-97,-47.8%,210,07/2019,1.45M,-850K,-37%
06/2019,3.2K,+1,555,+94.9%,164K,06/2019,203,+109,+116%,846,06/2019,2.30M,+1.08M,+89%
