viewers_Month,viewers_Average,viewers_Gain,viewers_% Gain,viewers_Peak,streams_Month,streams_Average,streams_Gain,streams_% Gain,streams_Peak,watched_Month,watched_Value,watched_Gain,watched_% Gain
02/2022,94.3K,+40,385,+75%,368K,02/2022,1.5K,-7,-0.5%,2.7K,02/2022,15.8M,-24.2M,-60.4%
01/2022,53.9K,-7,268,-11.9%,436K,01/2022,1.5K,+241,+19.6%,2.9K,01/2022,40.0M,-5.46M,-12%
12/2021,61.1K,-49,880,-44.9%,526K,12/2021,1.2K,-93,-7%,2.5K,12/2021,45.5M,-34.4M,-43.1%
11/2021,111K,+16,649,+17.6%,1.91M,11/2021,1.3K,+38,+3%,2.6K,11/2021,79.9M,+9.72M,+13.8%
10/2021,94.4K,+8,944,+10.5%,687K,10/2021,1.3K,-115,-8.2%,2.6K,10/2021,70.2M,+8.70M,+14.2%
09/2021,85.4K,+18,447,+27.5%,727K,09/2021,1.4K,-78,-5.3%,2.8K,09/2021,61.5M,+11.7M,+23.4%
08/2021,67.0K,-11,740,-14.9%,392K,08/2021,1.5K,-11,-0.7%,2.5K,08/2021,49.8M,-8.74M,-14.9%
07/2021,78.7K,+1,763,+2.3%,725K,07/2021,1.5K,-126,-7.8%,2.5K,07/2021,58.6M,+3.21M,+5.8%
06/2021,77.0K,-24,675,-24.3%,368K,06/2021,1.6K,-241,-13%,3.0K,06/2021,55.4M,-20.3M,-26.8%
05/2021,102K,+4,369,+4.5%,551K,05/2021,1.9K,-179,-8.8%,3.6K,05/2021,75.6M,+5.59M,+8%
04/2021,97.3K,+42,-,437K,04/2021,2.0K,-151,-6.9%,4.2K,04/2021,70.0M,-2.30M,-3.2%
03/2021,97.2K,-3,306,-3.3%,483K,03/2021,2.2K,-55,-2.5%,4.4K,03/2021,72.3M,+4.87M,+7.2%
02/2021,101K,+18,626,+22.7%,619K,02/2021,2.2K,-3,-0.1%,4.5K,02/2021,67.5M,+6.61M,+10.9%
01/2021,81.9K,+436,+0.5%,593K,01/2021,2.2K,+327,+17.1%,4.6K,01/2021,60.9M,+335K,+0.6%
12/2020,81.5K,-3,063,-3.6%,390K,12/2020,1.9K,+113,+6.3%,4.0K,12/2020,60.5M,-280K,-0.5%
11/2020,84.5K,+5,858,+7.4%,552K,11/2020,1.8K,+273,+17.8%,3.5K,11/2020,60.8M,+2.28M,+3.9%
10/2020,78.7K,+4,309,+5.8%,439K,10/2020,1.5K,+101,+7.1%,3.0K,10/2020,58.5M,+5.03M,+9.4%
09/2020,74.4K,+9,608,+14.8%,311K,09/2020,1.4K,-9,-0.6%,2.6K,09/2020,53.5M,+5.36M,+11.1%
08/2020,64.8K,+8,333,+14.8%,324K,08/2020,1.4K,-159,-9.9%,2.5K,08/2020,48.1M,+6.21M,+14.8%
07/2020,56.4K,-49,119,-46.5%,198K,07/2020,1.6K,-351,-18%,3.1K,07/2020,41.9M,-33.8M,-44.7%
06/2020,106K,+2,100,+2%,500K,06/2020,1.9K,-449,-18.7%,4.2K,06/2020,75.8M,-893K,-1.2%
05/2020,103K,-17,200,-14.3%,377K,05/2020,2.4K,-354,-12.9%,4.8K,05/2020,76.7M,-9.72M,-11.3%
04/2020,121K,+30,655,+34.1%,570K,04/2020,2.8K,+719,+35.4%,5.6K,04/2020,86.4M,+19.6M,+29.3%
03/2020,90.0K,+18,359,+25.6%,829K,03/2020,2.0K,+400,+24.5%,4.7K,03/2020,66.8M,+17.1M,+34.3%
