viewers_Month,viewers_Average,viewers_Gain,viewers_% Gain,viewers_Peak,streams_Month,streams_Average,streams_Gain,streams_% Gain,streams_Peak,watched_Month,watched_Value,watched_Gain,watched_% Gain
02/2022,204K,-710,-0.3%,450K,02/2022,3.1K,-47,-1.5%,6.1K,02/2022,34.3M,-118M,-77.5%
01/2022,205K,+47,790,+30.4%,532K,01/2022,3.2K,+563,+21.5%,6.6K,01/2022,152M,+35.4M,+30.3%
12/2021,157K,-22,833,-12.7%,418K,12/2021,2.6K,+177,+7.3%,5.7K,12/2021,117M,-12.7M,-9.8%
11/2021,180K,-3,994,-2.2%,444K,11/2021,2.4K,-2,-0.1%,5.0K,11/2021,130M,-7.29M,-5.3%
10/2021,184K,-16,578,-8.3%,473K,10/2021,2.4K,-189,-7.2%,4.9K,10/2021,137M,-7.52M,-5.2%
09/2021,201K,+6,261,+3.2%,590K,09/2021,2.6K,-425,-13.9%,5.1K,09/2021,145M,-132K,-0.1%
08/2021,194K,+2,876,+1.5%,503K,08/2021,3.1K,-98,-3.1%,5.6K,08/2021,145M,+2.11M,+1.5%
07/2021,192K,-45,436,-19.2%,477K,07/2021,3.1K,+184,+6.2%,6.2K,07/2021,143M,-27.9M,-16.4%
06/2021,237K,-103,570,-30.4%,608K,06/2021,3.0K,-408,-12.1%,5.9K,06/2021,170M,-83.0M,-32.7%
05/2021,341K,+8,223,+2.5%,1.14M,05/2021,3.4K,-111,-3.2%,7.0K,05/2021,253M,+14.1M,+5.9%
04/2021,332K,+84,487,+34.1%,1.13M,04/2021,3.5K,+454,+15%,7.0K,04/2021,239M,+54.9M,+29.8%
03/2021,248K,+43,098,+21%,591K,03/2021,3.0K,+48,+1.6%,6.4K,03/2021,184M,+46.9M,+34.1%
02/2021,205K,+105,305,+106%,508K,02/2021,3.0K,+252,+9.2%,6.0K,02/2021,137M,+63.6M,+86.1%
01/2021,99.5K,+16,690,+20.2%,335K,01/2021,2.7K,+303,+12.5%,5.6K,01/2021,73.9M,+12.4M,+20.2%
12/2020,82.8K,+11,016,+15.4%,263K,12/2020,2.4K,+538,+28.5%,6.6K,12/2020,61.5M,+9.87M,+19.1%
11/2020,71.8K,-3,186,-4.3%,202K,11/2020,1.9K,+242,+14.7%,4.2K,11/2020,51.6M,-4.13M,-7.4%
10/2020,74.9K,-6,893,-8.4%,203K,10/2020,1.6K,-58,-3.4%,3.6K,10/2020,55.7M,-3.12M,-5.3%
