CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
02/2022	21.4K	+4,447	+26.2%	122K
01/2022	16.9K	+3,504	+26.1%	90.1K
12/2021	13.4K	-2,156	-13.8%	112K
11/2021	15.6K	+3,734	+31.5%	124K
10/2021	11.9K	-1,526	-11.4%	139K
09/2021	13.4K	-2,579	-16.2%	60.7K
08/2021	16.0K	-3,666	-18.7%	68.3K
07/2021	19.6K	+24	+0.1%	191K
06/2021	19.6K	+2,860	+17.1%	111K
05/2021	16.7K	-1,478	-8.1%	95.4K
04/2021	18.2K	-4,857	-21%	83.1K
03/2021	23.1K	-6,783	-22.7%	153K
02/2021	29.9K	+13,809	+86%	174K
01/2021	16.1K	+948	+6.3%	160K
12/2020	15.1K	-3,909	-20.6%	78.2K
11/2020	19.0K	+3,380	+21.6%	74.0K
10/2020	15.6K	-299	-1.9%	69.6K
09/2020	15.9K	+529	+3.4%	70.3K
08/2020	15.4K	-377	-2.4%	120K
07/2020	15.8K	-1,547	-8.9%	58.2K
06/2020	17.3K	-1,785	-9.3%	80.6K
05/2020	19.1K	+2,495	+15%	72.5K
04/2020	16.6K	-1,934	-10.4%	70.8K
03/2020	18.6K	-1,467	-7.3%	69.9K
02/2020	20.0K	-5,434	-21.3%	62.9K
01/2020	25.5K	+3,372	+15.3%	67.3K
12/2019	22.1K	-666	-2.9%	78.3K
11/2019	22.8K	+403	+1.8%	117K
10/2019	22.3K	-3,189	-12.5%	73.2K
09/2019	25.5K	-8,079	-24%	67.5K
08/2019	33.6K	+4,141	+14%	273K
07/2019	29.5K	+453	+1.6%	103K
06/2019	29.0K	-2,982	-9.3%	82.9K
05/2019	32.0K	+3,263	+11.4%	117K
04/2019	28.7K	+1,302	+4.7%	134K
03/2019	27.4K	+600	+2.2%	108K
02/2019	26.8K	-13,282	-33.1%	117K
01/2019	40.1K	+2,306	+6.1%	128K
12/2018	37.8K	+8,476	+28.9%	124K
11/2018	29.3K	-1,936	-6.2%	101K
10/2018	31.3K	-6,154	-16.4%	150K
09/2018	37.4K	-10,214	-21.4%	201K
08/2018	47.6K	-12,882	-21.3%	147K
07/2018	60.5K	+8,526	+16.4%	598K
06/2018	52.0K	-7,345	-12.4%	184K
05/2018	59.3K	-9,681	-14%	227K
04/2018	69.0K	+5,745	+9.1%	283K
03/2018	63.3K	-1,408	-2.2%	342K
02/2018	64.7K	-7,571	-10.5%	457K
01/2018	72.3K	-3,054	-4.1%	195K
12/2017	75.3K	+6,406	+9.3%	283K
11/2017	68.9K	-12,973	-15.8%	218K
10/2017	81.9K	-19,586	-19.3%	179K
09/2017	101K	+2,333	+2.4%	216K
08/2017	99.1K	+17,225	+21%	449K
07/2017	81.9K	+18,441	+29.1%	201K
06/2017	63.5K	-737	-1.1%	149K
05/2017	64.2K	-49	-0.1%	329K
04/2017	64.3K	+19,094	+42.3%	144K
03/2017	45.2K	+20,539	+83.4%	150K
02/2017	24.6K	+15,686	+176%	86.3K
12/2016	8.9K	-	-	32.1K
CONCURRENT STREAMS
Month	Average	Gain	% Gain	Peak
02/2022	1.2K	+131	+12.7%	1.8K
01/2022	1.0K	+470	+83.2%	2.1K
12/2021	565	-25	-4.2%	901
11/2021	590	-39	-6.2%	918
10/2021	629	-64	-9.2%	1.0K
