CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
02/2022	53.2K	-32,271	-37.7%	189K
01/2022	85.5K	+76,055	+805%	909K
12/2021	9.4K	-3,587	-27.5%	41.7K
11/2021	13.0K	+5,445	+71.7%	97.2K
10/2021	7.6K	-14,798	-66.1%	29.6K
09/2021	22.4K	+11,384	+104%	154K
08/2021	11.0K	-28,794	-72.4%	40.6K
07/2021	39.8K	+29,286	+279%	407K
06/2021	10.5K	-12,286	-53.9%	71.5K
05/2021	22.8K	+5,045	+28.4%	169K
04/2021	17.8K	-9,301	-34.4%	121K
03/2021	27.1K	-38,847	-58.9%	268K
02/2021	65.9K	-190,149	-74.3%	337K
01/2021	256K	+230,341	+896%	1.37M
12/2020	25.7K	+16,952	+194%	330K
11/2020	8.8K	+4,482	+105%	50.1K
10/2020	4.3K	-303	-6.6%	12.9K
09/2020	4.6K	-1,316	-22.3%	32.3K
08/2020	5.9K	-748	-11.3%	48.4K
07/2020	6.6K	+633	+10.5%	41.6K
06/2020	6.0K	+673	+12.6%	44.7K
05/2020	5.3K	+156	+3%	40.5K
04/2020	5.2K	-1,520	-22.7%	41.6K
03/2020	6.7K	-169	-2.5%	24.1K
02/2020	6.9K	+3,036	+79.2%	30.9K
01/2020	3.8K	+172	+4.7%	16.5K
12/2019	3.7K	+496	+15.7%	37.2K
11/2019	3.2K	+126	+4.1%	23.2K
10/2019	3.0K	-12	-0.4%	13.7K
09/2019	3.1K	-4,466	-59.4%	28.5K
08/2019	7.5K	+1,642	+27.9%	37.7K
07/2019	5.9K	+3,013	+105%	41.2K
06/2019	2.9K	+31	+1.1%	16.1K
05/2019	2.8K	+244	+9.4%	17.2K
04/2019	2.6K	-480	-15.7%	13.8K
03/2019	3.1K	+888	+40.8%	35.4K
02/2019	2.2K	-643	-22.8%	12.1K
01/2019	2.8K	-338	-10.7%	22.1K
12/2018	3.2K	-1,974	-38.4%	36.5K
11/2018	5.1K	-335	-6.1%	31.3K
10/2018	5.5K	+3,136	+134%	40.4K
09/2018	2.3K	-234	-9.1%	20.6K
08/2018	2.6K	-538	-17.3%	25.2K
07/2018	3.1K	+639	+25.9%	16.2K
06/2018	2.5K	+701	+39.7%	35.3K
05/2018	1.8K	-497	-22%	15.2K
04/2018	2.3K	-166	-6.8%	10.4K
03/2018	2.4K	-347	-12.5%	13.6K
02/2018	2.8K	+286	+11.5%	44.5K
01/2018	2.5K	-698	-21.9%	15.9K
12/2017	3.2K	-663	-17.2%	31.5K
11/2017	3.9K	+1,774	+85.5%	56.9K
10/2017	2.1K	+206	+11%	33.8K
09/2017	1.9K	+123	+7%	11.2K
08/2017	1.7K	-127	-6.8%	10.5K
07/2017	1.9K	-53	-2.8%	49.0K
06/2017	1.9K	+168	+9.6%	10.8K
05/2017	1.8K	-111	-5.9%	13.7K
04/2017	1.9K	-385	-17.1%	47.4K
03/2017	2.3K	-2,838	-55.7%	12.9K
02/2017	5.1K	+2,646	+108%	50.7K
01/2017	2.4K	+872	+55.4%	38.2K
12/2016	1.6K	-	-	11.3K
CONCURRENT STREAMS
Month	Average	Gain	% Gain	Peak
02/2022	566	+12	+2.2%	1.4K
01/2022	554	+211	+61.5%	1.3K
12/2021	343	+16	+4.9%	926
11/2021	327	+22	+7.2%	824
10/2021	305	-73	-19.3%	772
09/2021	378	-44	-10.4%	1.1K
08/2021	422	-82	-16.3%	1.3K
07/2021	504	+63	+14.3%	1.1K
06/2021	441	-39	-8.1%	1.2K
05/2021	480	+70	+17.1%	1.3K
04/2021	410	-94	-18.7%	1.4K
03/2021	504	-387	-43.4%	1.8K
02/2021	891	-650	-42.2%	3.1K
01/2021	1.5K	+1,203	+356%	3.3K
12/2020	338	+44	+15%	882
11/2020	294	+73	+33%	749
10/2020	221	+4	+1.8%	581
09/2020	217	-29	-11.8%	608
08/2020	246	-29	-10.5%	671
07/2020	275	+40	+17%	742
06/2020	235	-32	-12%	729
05/2020	267	+3	+1.1%	759
04/2020	264	+44	+20%	746
03/2020	220	-	-	494
02/2020	220	-3	-1.3%	528
01/2020	223	+27	+13.8%	641
12/2019	196	+32	+19.5%	419
11/2019	164	+10	+6.5%	349
10/2019	154	-6	-3.8%	356
09/2019	160	-46	-22.3%	396
08/2019	206	-9	-4.2%	491
07/2019	215	+48	+28.7%	458
06/2019	167	+29	+21%	372
05/2019	138	-7	-4.8%	336
04/2019	145	-1	-0.7%	366
03/2019	146	+7	+5%	388
02/2019	139	-41	-22.8%	289
01/2019	180	+16	+9.8%	462
12/2018	164	+8	+5.1%	413
11/2018	156	+26	+20%	376
10/2018	130	+25	+23.8%	286
09/2018	105	-16	-13.2%	239
08/2018	121	-23	-16%	342
07/2018	144	+25	+21%	387
06/2018	119	+28	+30.8%	338
05/2018	91	-15	-14.2%	258
04/2018	106	-8	-7%	284
03/2018	114	-17	-13%	288
02/2018	131	+5	+4%	367
01/2018	126	+7	+5.9%	316
12/2017	119	+22	+22.7%	267
11/2017	97	+12	+14.1%	266
10/2017	85	+10	+13.3%	300
09/2017	75	-7	-8.5%	185
08/2017	82	-13	-13.7%	245
07/2017	95	+8	+9.2%	291
06/2017	87	+8	+10.1%	221
05/2017	79	-6	-7.1%	205
04/2017	85	-15	-15%	268
03/2017	100	-19	-16%	256
02/2017	119	+17	+16.7%	247
01/2017	102	+24	+30.8%	302
12/2016	78	-	-	165
HOURS WATCHED
Month	Value	Gain	% Gain
02/2022	8.94M	-54.7M	-85.9%
01/2022	63.6M	+56.6M	+805%
12/2021	7.03M	-2.36M	-25.1%
11/2021	9.39M	+3.74M	+66.2%
10/2021	5.65M	-10.5M	-65%
09/2021	16.1M	+7.93M	+96.9%
08/2021	8.19M	-21.4M	-72.4%
07/2021	29.6M	+22.1M	+292%
06/2021	7.56M	-9.40M	-55.4%
05/2021	17.0M	+4.18M	+32.7%
04/2021	12.8M	-7.35M	-36.5%
03/2021	20.1M	-24.1M	-54.5%
02/2021	44.3M	-146M	-76.7%
01/2021	190M	+171M	+896%
12/2020	19.1M	+12.8M	+203%
11/2020	6.30M	+3.12M	+98.1%
10/2020	3.18M	-112K	-3.4%
09/2020	3.29M	-1.09M	-24.8%
08/2020	4.38M	-558K	-11.3%
07/2020	4.94M	+621K	+14.4%
06/2020	4.32M	+360K	+9.1%
05/2020	3.96M	+243K	+6.6%
04/2020	3.71M	-1.26M	-25.4%
03/2020	4.97M	+199K	+4.2%
02/2020	4.78M	+1.92M	+67.4%
01/2020	2.85M	+132K	+4.9%
12/2019	2.72M	+518K	+23.5%
11/2019	2.20M	+34.0K	+1.6%
10/2019	2.17M	-28.7K	-1.3%
09/2019	2.20M	-3.40M	-60.7%
08/2019	5.59M	+1.23M	+28.1%
07/2019	4.37M	+2.31M	+112%
06/2019	2.06M	-44.4K	-2.1%
05/2019	2.10M	+242K	+13%
04/2019	1.86M	-418K	-18.3%
03/2019	2.28M	+816K	+55.7%
02/2019	1.46M	-635K	-30.2%
01/2019	2.10M	-252K	-10.7%
12/2018	2.35M	-1.35M	-36.4%
11/2018	3.70M	-368K	-9.1%
10/2018	4.07M	+2.39M	+142%
09/2018	1.68M	-230K	-12%
08/2018	1.91M	-370K	-16.2%
07/2018	2.28M	+503K	+28.3%
06/2018	1.77M	+463K	+35.3%
05/2018	1.31M	-314K	-19.3%
04/2018	1.63M	-181K	-10%
03/2018	1.81M	-55.1K	-3%
02/2018	1.86M	+10.9K	+0.6%
01/2018	1.85M	-519K	-21.9%
12/2017	2.37M	-399K	-14.4%
11/2017	2.77M	+1.23M	+79.3%
10/2017	1.54M	+200K	+14.9%
09/2017	1.34M	+47.2K	+3.6%
08/2017	1.30M	-97.1K	-7%
07/2017	1.39M	+7.3K	+0.5%
06/2017	1.39M	+96.1K	+7.4%
05/2017	1.29M	-48.8K	-3.6%
04/2017	1.34M	-338K	-20.1%
03/2017	1.68M	-1.74M	-51%
02/2017	3.42M	+1.61M	+88.7%
01/2017	1.81M	+645K	+55.3%
12/2016	1.17M	-	-
