CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
02/2022	318	-43	-11.9%	3.2K
01/2022	361	+14	+4%	3.6K
12/2021	347	+14	+4.2%	3.4K
11/2021	333	-9	-2.6%	3.3K
10/2021	342	-99	-22.4%	3.2K
09/2021	441	-15	-3.3%	13.6K
08/2021	456	+9	+2%	9.2K
07/2021	447	-26	-5.5%	17.5K
06/2021	473	-25	-5%	27.9K
05/2021	498	-231	-31.7%	5.0K
04/2021	729	-286	-28.2%	12.4K
03/2021	1.0K	+514	+103%	6.8K
02/2021	501	-19	-3.7%	4.1K
01/2021	520	-2	-0.4%	4.3K
12/2020	522	+18	+3.6%	17.3K
11/2020	504	+10	+2%	6.2K
10/2020	494	+4	+0.8%	4.7K
09/2020	490	-4	-0.8%	10.3K
08/2020	494	+24	+5.1%	13.6K
07/2020	470	+11	+2.4%	22.5K
06/2020	459	+39	+9.3%	4.9K
05/2020	420	-79	-15.8%	2.2K
04/2020	499	+252	+102%	65.0K
03/2020	247	+35	+16.5%	3.0K
02/2020	212	-31	-12.8%	952
01/2020	243	+21	+9.5%	6.9K
12/2019	222	-3	-1.3%	15.7K
11/2019	225	-85	-27.4%	3.3K
10/2019	310	+104	+50.5%	5.3K
09/2019	206	-80	-28%	4.1K
08/2019	286	-13	-4.3%	3.7K
07/2019	299	+1	+0.3%	21.1K
06/2019	298	+90	+43.3%	17.1K
05/2019	208	-61	-22.7%	1.3K
04/2019	269	+18	+7.2%	1.4K
03/2019	251	+15	+6.4%	1.7K
02/2019	236	-126	-34.8%	1.6K
01/2019	362	-46	-11.3%	50.0K
12/2018	408	-72	-15%	50.7K
11/2018	480	+140	+41.2%	80.0K
10/2018	340	+45	+15.3%	6.0K
09/2018	295	-144	-32.8%	1.4K
08/2018	439	+118	+36.8%	13.3K
07/2018	321	+71	+28.4%	6.5K
06/2018	250	-30	-10.7%	6.3K
05/2018	280	-77	-21.6%	6.3K
04/2018	357	-43	-10.8%	4.9K
03/2018	400	+38	+10.5%	12.7K
02/2018	362	+108	+42.5%	7.1K
01/2018	254	-8	-3.1%	3.9K
12/2017	262	-30	-10.3%	3.8K
11/2017	292	-129	-30.6%	2.8K
10/2017	421	+135	+47.2%	8.9K
09/2017	286	-6	-2.1%	7.4K
08/2017	292	+13	+4.7%	3.1K
07/2017	279	+31	+12.5%	2.4K
06/2017	248	+22	+9.7%	1.4K
05/2017	226	-22	-8.9%	1.1K
04/2017	248	+1	+0.4%	1.2K
03/2017	247	-53	-17.7%	3.2K
02/2017	300	-36	-10.7%	14.8K
01/2017	336	+68	+25.4%	3.6K
12/2016	268	-	-	6.6K
CONCURRENT STREAMS
Month	Average	Gain	% Gain	Peak
02/2022	42	-1	-2.3%	125
01/2022	43	+5	+13.2%	113
12/2021	38	-1	-2.6%	93
11/2021	39	-9	-18.8%	117
10/2021	48	+4	+9.1%	150
09/2021	44	-5	-10.2%	126
08/2021	49	-	-	111
07/2021	49	+2	+4.3%	128
06/2021	47	-2	-4.1%	145
05/2021	49	-6	-10.9%	136
04/2021	55	-11	-16.7%	121
03/2021	66	+1	+1.5%	179
02/2021	65	-1	-1.5%	161
01/2021	66	+6	+10%	167
