CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
02/2022	1.4K	+462	+49.8%	3.2K
01/2022	927	-719	-43.7%	7.3K
12/2021	1.6K	+137	+9.1%	42.6K
11/2021	1.5K	+404	+36.6%	12.7K
10/2021	1.1K	-195	-15%	8.4K
09/2021	1.3K	-88	-6.3%	7.4K
08/2021	1.4K	+510	+58.1%	14.5K
07/2021	878	-1,256	-58.9%	9.8K
06/2021	2.1K	+522	+32.4%	10.3K
05/2021	1.6K	+613	+61.4%	8.6K
04/2021	999	-250	-20%	23.8K
03/2021	1.2K	-1,212	-49.2%	11.9K
02/2021	2.5K	-758	-23.5%	12.0K
01/2021	3.2K	+1,049	+48.3%	93.8K
12/2020	2.2K	+766	+54.6%	14.0K
11/2020	1.4K	-138	-8.9%	7.9K
10/2020	1.5K	+522	+51.2%	10.9K
09/2020	1.0K	-183	-15.2%	13.5K
08/2020	1.2K	-139	-10.4%	7.2K
07/2020	1.3K	-72	-5.1%	7.7K
06/2020	1.4K	+429	+43.6%	10.0K
05/2020	985	-570	-36.7%	6.1K
04/2020	1.6K	+702	+82.3%	18.3K
03/2020	853	+273	+47.1%	5.0K
02/2020	580	-235	-28.8%	8.4K
01/2020	815	-106	-11.5%	8.4K
12/2019	921	+335	+57.2%	23.0K
11/2019	586	-106	-15.3%	15.3K
10/2019	692	+33	+5%	23.7K
09/2019	659	+120	+22.3%	4.6K
08/2019	539	-36	-6.3%	3.4K
07/2019	575	+110	+23.7%	6.1K
06/2019	465	-333	-41.7%	7.7K
05/2019	798	+285	+55.6%	16.3K
04/2019	513	-244	-32.2%	7.6K
03/2019	757	+179	+31%	9.3K
02/2019	578	-179	-23.6%	4.2K
01/2019	757	+80	+11.8%	5.3K
12/2018	677	-181	-21.1%	8.3K
11/2018	858	+135	+18.7%	14.7K
10/2018	723	+458	+173%	5.1K
09/2018	265	-150	-36.1%	1.7K
08/2018	415	+46	+12.5%	18.4K
07/2018	369	+78	+26.8%	13.1K
06/2018	291	+103	+54.8%	2.4K
05/2018	188	+24	+14.6%	7.2K
04/2018	164	-5	-3%	4.3K
03/2018	169	-60	-26.2%	4.0K
02/2018	229	-257	-52.9%	3.6K
01/2018	486	+182	+59.9%	22.1K
12/2017	304	+18	+6.3%	8.9K
11/2017	286	+54	+23.3%	2.6K
10/2017	232	+45	+24.1%	4.8K
09/2017	187	+52	+38.5%	5.1K
08/2017	135	-57	-29.7%	2.9K
07/2017	192	-7	-3.5%	5.5K
06/2017	199	+17	+9.3%	8.5K
05/2017	182	-36	-16.5%	3.2K
04/2017	218	+13	+6.3%	2.0K
03/2017	205	-108	-34.5%	2.7K
02/2017	313	-54	-14.7%	5.5K
01/2017	367	-56	-13.2%	5.6K
12/2016	423	-	-	5.7K
CONCURRENT STREAMS
Month	Average	Gain	% Gain	Peak
02/2022	56	+4	+7.7%	92
01/2022	52	-10	-16.1%	106
12/2021	62	+1	+1.6%	111
11/2021	61	+15	+32.6%	141
10/2021	46	-9	-16.4%	109
09/2021	55	-	-	115
08/2021	55	-2	-3.5%	130
07/2021	57	-17	-23%	125
06/2021	74	-3	-3.9%	166
05/2021	77	+17	+28.3%	188
04/2021	60	-1	-1.6%	115
03/2021	61	-26	-29.9%	120
02/2021	87	-7	-7.4%	174
01/2021	94	+9	+10.6%	178
12/2020	85	+12	+16.4%	163
11/2020	73	+13	+21.7%	140
10/2020	60	+12	+25%	187
09/2020	48	-4	-7.7%	109
08/2020	52	-14	-21.2%	108
07/2020	66	-2	-2.9%	118
06/2020	68	+13	+23.6%	159
05/2020	55	-5	-8.3%	113
04/2020	60	+16	+36.4%	126
03/2020	44	+6	+15.8%	120
02/2020	38	-4	-9.5%	83
01/2020	42	-	-	100
12/2019	42	+8	+23.5%	87
11/2019	34	+1	+3%	89
10/2019	33	+2	+6.5%	82
09/2019	31	-6	-16.2%	67
08/2019	37	+6	+19.4%	69
07/2019	31	-8	-20.5%	67
06/2019	39	-4	-9.3%	88
05/2019	43	+9	+26.5%	103
04/2019	34	-2	-5.6%	75
03/2019	36	+5	+16.1%	92
02/2019	31	-7	-18.4%	63
01/2019	38	+4	+11.8%	74
12/2018	34	-11	-24.4%	69
11/2018	45	+14	+45.2%	108
10/2018	31	+11	+55%	71
09/2018	20	-	-	62
08/2018	20	-7	-25.9%	42
07/2018	27	-4	-12.9%	60
06/2018	31	+10	+47.6%	75
05/2018	21	+2	+10.5%	60
04/2018	19	-1	-5%	47
03/2018	20	-6	-23.1%	45
02/2018	26	-2	-7.1%	60
01/2018	28	+4	+16.7%	64
12/2017	24	-4	-14.3%	55
11/2017	28	+9	+47.4%	64
10/2017	19	+1	+5.6%	45
09/2017	18	-	-	39
08/2017	18	-5	-21.7%	41
07/2017	23	+4	+21.1%	49
06/2017	19	-	-	42
05/2017	19	-	-	47
04/2017	19	+1	+5.6%	43
03/2017	18	-3	-14.3%	43
02/2017	21	-6	-22.2%	48
01/2017	27	+3	+12.5%	60
12/2016	24	-	-	50
HOURS WATCHED
Month	Value	Gain	% Gain
02/2022	233K	-454K	-66.1%
01/2022	686K	-538K	-44%
