CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
02/2022	51.2K	-8,849	-14.7%	105K
01/2022	60.0K	+1,920	+3.3%	219K
12/2021	58.1K	+6,551	+12.7%	206K
11/2021	51.5K	-81,262	-61.2%	229K
10/2021	133K	+84,518	+175%	1.71M
09/2021	48.3K	-9,118	-15.9%	160K
08/2021	57.4K	+258	+0.5%	217K
07/2021	57.1K	-29,341	-33.9%	400K
06/2021	86.5K	+21,046	+32.2%	365K
05/2021	65.4K	-3,634	-5.3%	270K
04/2021	69.1K	+15,349	+28.6%	374K
03/2021	53.7K	-4,181	-7.2%	231K
02/2021	57.9K	+4,724	+8.9%	220K
01/2021	53.2K	-4,512	-7.8%	151K
12/2020	57.7K	+785	+1.4%	249K
11/2020	56.9K	+11,854	+26.3%	222K
10/2020	45.1K	-7,874	-14.9%	160K
09/2020	52.9K	+1,512	+2.9%	274K
08/2020	51.4K	+3,136	+6.5%	172K
07/2020	48.3K	-8,941	-15.6%	193K
06/2020	57.2K	-11,545	-16.8%	204K
05/2020	68.8K	-6,941	-9.2%	196K
04/2020	75.7K	+19,424	+34.5%	373K
03/2020	56.3K	+5,928	+11.8%	166K
02/2020	50.4K	-8,899	-15%	237K
01/2020	59.3K	+13,210	+28.7%	368K
12/2019	46.0K	-2,347	-4.8%	204K
11/2019	48.4K	+7,988	+19.8%	243K
10/2019	40.4K	+4,476	+12.5%	177K
09/2019	35.9K	-59,386	-62.3%	127K
08/2019	95.3K	+40,255	+73.1%	1.04M
07/2019	55.1K	-4,655	-7.8%	279K
06/2019	59.7K	-3,058	-4.9%	488K
05/2019	62.8K	+21,747	+53%	409K
04/2019	41.0K	-26,467	-39.2%	152K
03/2019	67.5K	-7,379	-9.9%	356K
02/2019	74.9K	+12,339	+19.7%	273K
01/2019	62.5K	+18,249	+41.2%	445K
12/2018	44.3K	-19,768	-30.9%	256K
11/2018	64.1K	+16,713	+35.3%	446K
10/2018	47.3K	+6,036	+14.6%	219K
09/2018	41.3K	-52,662	-56%	162K
08/2018	94.0K	+55,007	+141%	776K
07/2018	39.0K	-27,834	-41.7%	151K
06/2018	66.8K	+14,249	+27.1%	357K
05/2018	52.5K	-3,282	-5.9%	359K
04/2018	55.8K	+2,200	+4.1%	312K
03/2018	53.6K	+4,628	+9.4%	397K
02/2018	49.0K	+7,397	+17.8%	292K
01/2018	41.6K	-1,837	-4.2%	180K
12/2017	43.4K	-11,598	-21.1%	293K
11/2017	55.0K	+12,510	+29.4%	227K
10/2017	42.5K	+2,190	+5.4%	283K
09/2017	40.3K	-38,377	-48.8%	205K
08/2017	78.7K	+45,957	+140%	846K
07/2017	32.8K	-24,931	-43.2%	111K
06/2017	57.7K	+11,057	+23.7%	338K
05/2017	46.6K	-21,500	-31.6%	215K
04/2017	68.1K	+16,559	+32.1%	672K
03/2017	51.6K	+3,870	+8.1%	327K
02/2017	47.7K	-4,905	-9.3%	218K
01/2017	52.6K	-7,709	-12.8%	232K
12/2016	60.3K	-	-	430K
CONCURRENT STREAMS
Month	Average	Gain	% Gain	Peak
02/2022	1.1K	-	-	1.9K
01/2022	1.1K	+120	+12.5%	2.0K
12/2021	961	-78	-7.5%	1.8K
11/2021	1.0K	+96	+10.2%	1.9K
10/2021	943	-5	-0.5%	1.9K
09/2021	948	-35	-3.6%	1.8K
08/2021	983	+73	+8%	1.7K
07/2021	910	+3	+0.3%	1.5K
06/2021	907	-24	-2.6%	1.5K
05/2021	931	+6	+0.6%	1.6K
04/2021	925	+38	+4.3%	1.7K
03/2021	887	-27	-3%	1.6K
02/2021	914	-56	-5.8%	1.7K
01/2021	970	+122	+14.4%	1.8K
12/2020	848	-23	-2.6%	1.5K
11/2020	871	+65	+8.1%	1.6K
10/2020	806	+41	+5.4%	1.6K
09/2020	765	+19	+2.5%	1.4K
08/2020	746	-23	-3%	1.3K
07/2020	769	-21	-2.7%	1.3K
06/2020	790	-175	-18.1%	1.5K
05/2020	965	+28	+3%	1.8K
04/2020	937	+205	+28%	1.7K
03/2020	732	+104	+16.6%	1.5K
02/2020	628	+34	+5.7%	1.2K
01/2020	594	+30	+5.3%	1.1K
12/2019	564	-31	-5.2%	1.1K
11/2019	595	-10	-1.7%	1.3K
10/2019	605	-19	-3%	1.2K
09/2019	624	-31	-4.7%	1.3K
08/2019	655	+35	+5.6%	1.2K
07/2019	620	+8	+1.3%	1.1K
06/2019	612	-48	-7.3%	1.1K
05/2019	660	+34	+5.4%	1.3K
04/2019	626	-131	-17.3%	1.3K
03/2019	757	-29	-3.7%	1.5K
02/2019	786	+51	+6.9%	1.6K
01/2019	735	+109	+17.4%	1.5K
12/2018	626	-18	-2.8%	1.3K
11/2018	644	+37	+6.1%	1.3K
10/2018	607	+8	+1.3%	1.3K
09/2018	599	+8	+1.4%	1.3K
08/2018	591	-1	-0.2%	1.1K
07/2018	592	+8	+1.4%	1.1K
06/2018	584	+10	+1.7%	1.1K
05/2018	574	+16	+2.9%	1.2K
04/2018	558	-8	-1.4%	1.4K
03/2018	566	-7	-1.2%	1.5K
02/2018	573	+22	+4%	964
01/2018	551	+64	+13.1%	912
12/2017	487	+11	+2.3%	815
11/2017	476	+52	+12.3%	829
10/2017	424	+5	+1.2%	752
09/2017	419	+11	+2.7%	718
08/2017	408	-25	-5.8%	704
07/2017	433	+11	+2.6%	829
06/2017	422	-1	-0.2%	933
05/2017	423	+28	+7.1%	866
04/2017	395	-52	-11.6%	923
03/2017	447	-39	-8%	1.2K
02/2017	486	+1	+0.2%	1.1K
01/2017	485	+79	+19.5%	864
12/2016	406	-	-	816
HOURS WATCHED
Month	Value	Gain	% Gain
02/2022	8.60M	-36.0M	-80.7%
01/2022	44.6M	+1.40M	+3.2%
12/2021	43.2M	+6.11M	+16.5%
11/2021	37.1M	-61.7M	-62.4%
10/2021	98.8M	+64.0M	+184%
09/2021	34.8M	-7.93M	-18.6%
08/2021	42.7M	+183K	+0.4%
07/2021	42.5M	-19.7M	-31.7%
06/2021	62.2M	+13.5M	+27.8%
05/2021	48.7M	-1.05M	-2.1%
04/2021	49.7M	+9.76M	+24.4%
03/2021	40.0M	+1.10M	+2.8%
02/2021	38.9M	-632K	-1.6%
01/2021	39.5M	-3.35M	-7.8%
12/2020	42.9M	+1.92M	+4.7%
11/2020	40.9M	+7.42M	+22.1%
10/2020	33.5M	-4.56M	-12%
09/2020	38.1M	-145K	-0.4%
08/2020	38.2M	+2.35M	+6.6%
07/2020	35.9M	-5.22M	-12.7%
06/2020	41.1M	-9.89M	-19.4%
05/2020	51.0M	-3.23M	-6%
04/2020	54.2M	+12.4M	+29.7%
03/2020	41.8M	+6.81M	+19.5%
02/2020	35.0M	-9.10M	-20.6%
01/2020	44.1M	+9.87M	+28.9%
12/2019	34.2M	+459K	+1.4%
11/2019	33.8M	+4.81M	+16.6%
10/2019	28.9M	+3.08M	+11.9%
09/2019	25.9M	-45.1M	-63.5%
08/2019	70.9M	+30.0M	+73.2%
07/2019	41.0M	-2.04M	-4.7%
06/2019	43.0M	-3.68M	-7.9%
05/2019	46.7M	+17.1M	+58%
04/2019	29.5M	-20.6M	-41.1%
03/2019	50.2M	-143K	-0.3%
02/2019	50.3M	+3.79M	+8.1%
01/2019	46.5M	+13.6M	+41.2%
12/2018	33.0M	-13.2M	-28.6%
11/2018	46.1M	+11.0M	+31.2%
10/2018	35.2M	+5.43M	+18.3%
09/2018	29.7M	-40.0M	-57.4%
08/2018	69.7M	+41.3M	+145%
07/2018	28.4M	-19.7M	-40.9%
06/2018	48.1M	+9.01M	+23.1%
05/2018	39.1M	-1.05M	-2.6%
04/2018	40.1M	+226K	+0.6%
03/2018	39.9M	+7.02M	+21.3%
02/2018	32.9M	+1.94M	+6.3%
01/2018	30.9M	-1.36M	-4.2%
12/2017	32.3M	-7.27M	-18.4%
11/2017	39.6M	+7.94M	+25.1%
10/2017	31.6M	+2.59M	+8.9%
09/2017	29.0M	-29.5M	-50.4%
08/2017	58.5M	+34.2M	+140%
07/2017	24.3M	-17.2M	-41.3%
06/2017	41.5M	+7.76M	+23%
05/2017	33.7M	-14.9M	-30.7%
04/2017	48.7M	+10.3M	+26.9%
03/2017	38.4M	+6.32M	+19.7%
02/2017	32.0M	-6.97M	-17.9%
01/2017	39.0M	-5.70M	-12.7%
12/2016	44.7M	-	-
