CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
02/2022	871	-1,464	-62.7%	12.8K
01/2022	2.3K	+1,037	+79.9%	35.7K
12/2021	1.3K	+270	+26.3%	14.2K
11/2021	1.0K	+6	+0.6%	6.8K
10/2021	1.0K	+353	+52.8%	14.1K
09/2021	669	-307	-31.5%	5.7K
08/2021	976	-1,867	-65.7%	13.9K
07/2021	2.8K	-3,041	-51.7%	58.6K
06/2021	5.9K	+3,615	+159%	91.7K
05/2021	2.3K	+1,163	+105%	27.4K
04/2021	1.1K	+1	+0.1%	7.0K
03/2021	1.1K	-2,029	-64.7%	38.1K
02/2021	3.1K	+894	+39.9%	270K
01/2021	2.2K	+1,259	+128%	46.9K
12/2020	981	+179	+22.3%	5.5K
11/2020	802	+299	+59.4%	16.6K
10/2020	503	-370	-42.4%	4.1K
09/2020	873	-709	-44.8%	13.6K
08/2020	1.6K	-495	-23.8%	13.3K
07/2020	2.1K	-5,183	-71.4%	32.9K
06/2020	7.3K	-10,608	-59.4%	37.5K
05/2020	17.9K	+17,036	+2.0K%	125K
04/2020	832	+146	+21.3%	32.3K
03/2020	686	-437	-38.9%	19.9K
02/2020	1.1K	-84	-7%	22.5K
01/2020	1.2K	+506	+72.2%	185K
12/2019	701	+431	+160%	13.2K
11/2019	270	+86	+46.7%	13.8K
10/2019	184	-103	-35.9%	3.9K
09/2019	287	-344	-54.5%	4.4K
08/2019	631	-87	-12.1%	10.1K
07/2019	718	-588	-45%	6.5K
06/2019	1.3K	+730	+127%	13.5K
05/2019	576	-71	-11%	15.5K
04/2019	647	+133	+25.9%	17.4K
03/2019	514	+54	+11.7%	24.1K
02/2019	460	-221	-32.5%	2.4K
01/2019	681	+103	+17.8%	34.1K
12/2018	578	+226	+64.2%	27.2K
11/2018	352	-893	-71.7%	12.9K
10/2018	1.2K	-292	-19%	7.0K
09/2018	1.5K	-213	-12.2%	7.3K
08/2018	1.8K	-570	-24.6%	7.3K
07/2018	2.3K	+1,531	+194%	13.5K
06/2018	789	-433	-35.4%	6.5K
05/2018	1.2K	+131	+12%	7.0K
04/2018	1.1K	+85	+8.4%	34.3K
03/2018	1.0K	+58	+6.1%	19.0K
02/2018	948	+460	+94.3%	6.0K
01/2018	488	+141	+40.6%	7.1K
12/2017	347	+1	+0.3%	10.1K
11/2017	346	+218	+170%	32.4K
10/2017	128	-52	-28.9%	2.1K
09/2017	180	-346	-65.8%	6.8K
08/2017	526	+168	+46.9%	17.8K
07/2017	358	+138	+62.7%	20.0K
06/2017	220	-119	-35.1%	1.1K
05/2017	339	+197	+139%	4.1K
04/2017	142	+10	+7.6%	1.7K
03/2017	132	-326	-71.2%	1.5K
02/2017	458	+153	+50.2%	3.6K
01/2017	305	-77	-20.2%	20.3K
12/2016	382	-	-	26.3K&
CONCURRENT STREAMS
Month	Average	Gain	% Gain	Peak
02/2022	129	-11	-7.9%	216
01/2022	140	+17	+13.8%	266
12/2021	123	-9	-6.8%	236
11/2021	132	-4	-2.9%	276
10/2021	136	+28	+25.9%	366
09/2021	108	-15	-12.2%	261
08/2021	123	-13	-9.6%	205
07/2021	136	-7	-4.9%	235
06/2021	143	-6	-4%	282
05/2021	149	+11	+8%	294
04/2021	138	-15	-9.8%	237
03/2021	153	-30	-16.4%	322
02/2021	183	+22	+13.7%	347
01/2021	161	+28	+21.1%	323
12/2020	133	-1	-0.7%	268
11/2020	134	+26	+24.1%	253
10/2020	108	+11	+11.3%	226
09/2020	97	-20	-17.1%	193
08/2020	117	-28	-19.3%	206
07/2020	145	-126	-46.5%	262
06/2020	271	-249	-47.9%	660
05/2020	520	+394	+313%	5.0K
04/2020	126	+57	+82.6%	231
03/2020	69	+6	+9.5%	155
02/2020	63	-9	-12.5%	117
01/2020	72	-8	-10%	156
12/2019	80	+32	+66.7%	157
11/2019	48	+12	+33.3%	153
10/2019	36	-2	-5.3%	75
09/2019	38	-10	-20.8%	86
08/2019	48	-11	-18.6%	108
07/2019	59	-3	-4.8%	108
06/2019	62	+11	+21.6%	117
05/2019	51	-1	-1.9%	99
04/2019	52	+4	+8.3%	112
03/2019	48	-2	-4%	94
02/2019	50	-12	-19.4%	105
01/2019	62	+21	+51.2%	125
12/2018	41	+2	+5.1%	93
11/2018	39	-2	-4.9%	85
10/2018	41	-3	-6.8%	94
09/2018	44	-4	-8.3%	94
08/2018	48	-9	-15.8%	97
07/2018	57	+12	+26.7%	100
06/2018	45	-	-	85
05/2018	45	-1	-2.2%	91
